Datum,Start,Eind,Taak,Hoofdverantwoordelijke,aantal medewerkers,Informatie voor uitvoerenden,Grootte van taak,Locatie,Taak nummer,Aantekeningen
2026-06-03,08:45,09:00,Toezicht tijdens het aankomen van kinderen,,2,Doe een hesje aan zodat je herkenbaar bent als toezicht,Klein,Speelplaats,1,
2026-06-03,08:45,09:00,"Koffie zetten, koffie en stroopwafels serveren aan de leraren",,1,,Klein,Kantine,2,
2026-06-03,09:00,11:00,Boodschappen organizeren,Gertje/bestuur,,,Klein,Huishoudlokaal,3,niemand inplannen we moeten hier ad hoc mensen inzetten
2026-06-03,09:45,10:15,Voorbereiden fruitsnack + koffie,1,2,,Klein,Huishoudlokaal,4,team van taak 4 kan ook ingezet worden voor taak 5
2026-06-03,10:15,10:30,Uitdelen fruitsnack + koffie,1,2,,Klein,Speelplaats,5,
2026-06-03,11:30,12:00,Toezicht tijdens de pauze van de bovenbouw,,2,Doe een hesje aan zodat je herkenbaar bent als toezicht,Klein,Speelplaats,6,
2026-06-03,11:25,12:00,Lunch helpen groep 1,,1,"Wees op tijd en haal de kinderen op vanaf de klas, zodat de leerkracht zelf rustig kan eten",Klein,Kantine,7,idealiter ouder van kind uit de betreffende klas
2026-06-03,11:25,12:00,Lunch helpen groep 2,,1,"Wees op tijd en haal de kinderen op vanaf de klas, zodat de leerkracht zelf rustig kan eten",Klein,Kantine,8,idealiter ouder van kind uit de betreffende klas
2026-06-03,11:25,12:00,Lunch helpen groep 3a,,1,"Wees op tijd en haal de kinderen op vanaf de klas, zodat de leerkracht zelf rustig kan eten",Klein,Kantine,9,idealiter ouder van kind uit de betreffende klas
2026-06-03,11:25,12:00,Lunch helpen groep 3b,,1,"Wees op tijd en haal de kinderen op vanaf de klas, zodat de leerkracht zelf rustig kan eten",Klein,Kantine,10,idealiter ouder van kind uit de betreffende klas
2026-06-03,11:30,12:00,Eten uitdelen en tafels opruimen ,,2,,Klein,Kantine,11,Team van taak 11 kan ook ingezet worden voor taak 14
2026-06-03,12:00,12:30,Toezicht bij het eten,,1,,Klein,Kantine,12,
2026-06-03,12:00,12:30,Toezicht tijdens de pauze van de onderbouw,,2,Doe een hesje aan zodat je herkenbaar bent als toezicht,Klein,Speelplaats,13,
2026-06-03,12:00,12:30,Eten uitdelen en tafels opruimen,,2,,Klein,Kantine,14,
2026-06-03,13:15,13:45,Voorbereiden fruitsnack + koffie,1,2,,Klein,Huishoudlokaal,15,team van taak 15 kan ook ingezet worden voor taak 16
2026-06-03,13:45,14:00,Uitdelen fruitsnack + koffie,1,1,,Klein,Speelplaats,16,
2026-06-03,13:00,14:00,Walkthrough van gymzaal met voimisteiljat mensen in voorbereiding van de disco vrijdag,"Henk, Kees",1,Afspraak met Tarja Halonen van voimistelijat +358500000000 - ze is er vanaf 13h,Klein,Gymzaal,199,"Henk, Kees, en een derde persoon (deze is verantwoordelijk voor taak 82 en 89)"
2026-06-03,13:30,16:00,Koken,Gertje,"Samson, 1",,Groot,Keuken,17,
2026-06-03,15:00,15:15,Toezicht tijdens het vertrekken van kinderen,,1,Doe een hesje aan zodat je herkenbaar bent als toezicht,Klein,Speelplaats,18,
2026-06-03,15:15,15:30,Namiddag snack,1,1,,Klein,Speelplaats,19,
2026-06-03,15:30,17:00,Middagactiviteit,1,2,,Groot,,20,"Hoofdverantwoordelijke moet zich aanmelden, niet door programma laten indelen"
2026-06-03,15:30,17:00,Voetbal,1,1,"Voetbalkooi naast Järvenpää skatepark / Als je liever een andere activiteit doet, mag je onderling ook met iemand van een andere activiteit ruilen. Zelf regelen.",Groot,https://maps.app.goo.gl/dS7iJEybhz1AxWa97,21,
2026-06-03,17:30,18:30,Avond eten uitdelen en opruimen,1,2,,Groot,Kantine,22,
2026-06-03,18:30,20:00,Avondactiviteit,1,2,,Groot,,23,"Hoofdverantwoordelijke moet zich aanmelden, niet door programma laten indelen"
